"TIPO_INDICE";"CO_ANO";"CO_MES";"CO_COMMODITIES";"INDICE";"TIPO";"TIPO_MOEDA";"NO_COMMODITIES";"NO_TIPO_CLASSIFICACAO";"NO_CLASSIFICACAO_MIN"
"PRECO";"2020";"4";"COMMODITIES_CO_GRUPO_1";"138,98522899201936";"EXP";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"PRECO";"2020";"4";"COMMODITIES_TOTAL_1";"127,60455647840985";"EXP";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"QUANTUM";"2020";"4";"COMMODITIES_CO_GRUPO_4";"285,84570835002052";"EXP";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"QUANTUM";"2020";"4";"COMMODITIES_CO_GRUPO_2";"129,21666938641926";"EXP";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"QUANTUM";"2020";"4";"COMMODITIES_CO_GRUPO_3";"117,12836485628195";"EXP";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"QUANTUM";"2020";"4";"COMMODITIES_CO_GRUPO_1";"225,04254960380700";"EXP";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"QUANTUM";"2020";"4";"COMMODITIES_TOTAL_1";"193,97729291050138";"EXP";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"PRECO";"2020";"4";"COMMODITIES_CO_GRUPO_4";"75,60653360660025";"IMP";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"PRECO";"2020";"4";"COMMODITIES_CO_GRUPO_2";"95,09285873685239";"IMP";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"PRECO";"2020";"4";"COMMODITIES_CO_GRUPO_3";"104,44942059831087";"IMP";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"PRECO";"2020";"4";"COMMODITIES_CO_GRUPO_1";"145,17500224277723";"IMP";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"PRECO";"2020";"4";"COMMODITIES_TOTAL_1";"92,76537968866765";"IMP";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"QUANTUM";"2020";"4";"COMMODITIES_CO_GRUPO_4";"124,72535211016660";"IMP";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"QUANTUM";"2020";"4";"COMMODITIES_CO_GRUPO_2";"76,63503538950530";"IMP";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"QUANTUM";"2020";"4";"COMMODITIES_CO_GRUPO_3";"163,95207557363844";"IMP";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"QUANTUM";"2020";"4";"COMMODITIES_CO_GRUPO_1";"147,64923057291014";"IMP";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"QUANTUM";"2020";"4";"COMMODITIES_TOTAL_1";"137,10886424406985";"IMP";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"PRECO";"2020";"3";"COMMODITIES_CO_GRUPO_4";"82,60734275437109";"CORRENTE";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"PRECO";"2020";"3";"COMMODITIES_CO_GRUPO_2";"107,02365845485586";"CORRENTE";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"PRECO";"2020";"3";"COMMODITIES_CO_GRUPO_3";"142,59295576463734";"CORRENTE";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"PRECO";"2020";"3";"COMMODITIES_CO_GRUPO_1";"133,85954561539182";"CORRENTE";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"PRECO";"2020";"3";"COMMODITIES_TOTAL_1";"116,82629355903573";"CORRENTE";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"QUANTUM";"2020";"3";"COMMODITIES_CO_GRUPO_4";"210,62432409664927";"CORRENTE";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"QUANTUM";"2020";"3";"COMMODITIES_CO_GRUPO_2";"156,38835673942992";"CORRENTE";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"QUANTUM";"2020";"3";"COMMODITIES_CO_GRUPO_3";"125,63142370025888";"CORRENTE";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"QUANTUM";"2020";"3";"COMMODITIES_CO_GRUPO_1";"201,96585829042428";"CORRENTE";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"QUANTUM";"2020";"3";"COMMODITIES_TOTAL_1";"179,99711004742733";"CORRENTE";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"PRECO";"2020";"3";"COMMODITIES_CO_GRUPO_4";"88,79593658615886";"EXP";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"PRECO";"2020";"3";"COMMODITIES_CO_GRUPO_2";"108,99706113007936";"EXP";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"PRECO";"2020";"3";"COMMODITIES_CO_GRUPO_3";"153,90058586164727";"EXP";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"PRECO";"2020";"3";"COMMODITIES_CO_GRUPO_1";"133,18212457526499";"EXP";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"PRECO";"2020";"3";"COMMODITIES_TOTAL_1";"125,67601164846420";"EXP";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"QUANTUM";"2020";"3";"COMMODITIES_CO_GRUPO_4";"305,53410083971852";"EXP";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"QUANTUM";"2020";"3";"COMMODITIES_CO_GRUPO_2";"161,88116781510067";"EXP";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"QUANTUM";"2020";"3";"COMMODITIES_CO_GRUPO_3";"109,95507466194927";"EXP";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"QUANTUM";"2020";"3";"COMMODITIES_CO_GRUPO_1";"203,77548748013155";"EXP";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"QUANTUM";"2020";"3";"COMMODITIES_TOTAL_1";"187,84120515894580";"EXP";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"PRECO";"2020";"3";"COMMODITIES_CO_GRUPO_4";"86,89499260464106";"IMP";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"PRECO";"2020";"3";"COMMODITIES_CO_GRUPO_2";"95,40047135240650";"IMP";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"PRECO";"2020";"3";"COMMODITIES_CO_GRUPO_3";"109,50430314667609";"IMP";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"PRECO";"2020";"3";"COMMODITIES_CO_GRUPO_1";"146,96656021343745";"IMP";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"PRECO";"2020";"3";"COMMODITIES_TOTAL_1";"100,99544690352771";"IMP";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"QUANTUM";"2020";"3";"COMMODITIES_CO_GRUPO_4";"122,15479687552839";"IMP";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"QUANTUM";"2020";"3";"COMMODITIES_CO_GRUPO_2";"81,98471943416973";"IMP";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"QUANTUM";"2020";"3";"COMMODITIES_CO_GRUPO_3";"186,83165817171457";"IMP";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"QUANTUM";"2020";"3";"COMMODITIES_CO_GRUPO_1";"171,64725923403984";"IMP";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"QUANTUM";"2020";"3";"COMMODITIES_TOTAL_1";"145,99479067887250";"IMP";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"PRECO";"2020";"2";"COMMODITIES_CO_GRUPO_4";"101,61198335391757";"CORRENTE";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"PRECO";"2020";"2";"COMMODITIES_CO_GRUPO_2";"106,10709619252138";"CORRENTE";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"PRECO";"2020";"2";"COMMODITIES_CO_GRUPO_3";"148,54824797011437";"CORRENTE";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"PRECO";"2020";"2";"COMMODITIES_CO_GRUPO_1";"135,01052048137100";"CORRENTE";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"PRECO";"2020";"2";"COMMODITIES_TOTAL_1";"124,60017327721454";"CORRENTE";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"QUANTUM";"2020";"2";"COMMODITIES_CO_GRUPO_4";"191,47509508276869";"CORRENTE";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"QUANTUM";"2020";"2";"COMMODITIES_CO_GRUPO_2";"141,09692166374325";"CORRENTE";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"QUANTUM";"2020";"2";"COMMODITIES_CO_GRUPO_3";"114,31785805463403";"CORRENTE";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"QUANTUM";"2020";"2";"COMMODITIES_CO_GRUPO_1";"131,00476474544308";"CORRENTE";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"QUANTUM";"2020";"2";"COMMODITIES_TOTAL_1";"143,18339651386157";"CORRENTE";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"PRECO";"2020";"2";"COMMODITIES_CO_GRUPO_4";"112,05580146445082";"EXP";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"PRECO";"2020";"2";"COMMODITIES_CO_GRUPO_2";"107,89385659814599";"EXP";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"PRECO";"2020";"2";"COMMODITIES_CO_GRUPO_3";"162,24800530767956";"EXP";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"PRECO";"2020";"2";"COMMODITIES_CO_GRUPO_1";"134,74272213111337";"EXP";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"PRECO";"2020";"2";"COMMODITIES_TOTAL_1";"133,78913118258527";"EXP";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"QUANTUM";"2020";"2";"COMMODITIES_CO_GRUPO_4";"268,23835411730619";"EXP";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"QUANTUM";"2020";"2";"COMMODITIES_CO_GRUPO_2";"148,51054222055581";"EXP";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"QUANTUM";"2020";"2";"COMMODITIES_CO_GRUPO_3";"108,67071519560515";"EXP";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"QUANTUM";"2020";"2";"COMMODITIES_CO_GRUPO_1";"127,65684367252680";"EXP";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"QUANTUM";"2020";"2";"COMMODITIES_TOTAL_1";"145,45512603042644";"EXP";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"PRECO";"2020";"2";"COMMODITIES_CO_GRUPO_4";"97,56154644792784";"IMP";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"PRECO";"2020";"2";"COMMODITIES_CO_GRUPO_2";"93,89368523807281";"IMP";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"PRECO";"2020";"2";"COMMODITIES_CO_GRUPO_3";"108,16426959811108";"IMP";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"PRECO";"2020";"2";"COMMODITIES_CO_GRUPO_1";"147,78495591296067";"IMP";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"PRECO";"2020";"2";"COMMODITIES_TOTAL_1";"106,41597790045216";"IMP";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"QUANTUM";"2020";"2";"COMMODITIES_CO_GRUPO_4";"123,68151026263968";"IMP";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"QUANTUM";"2020";"2";"COMMODITIES_CO_GRUPO_2";"52,26909445009744";"IMP";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"QUANTUM";"2020";"2";"COMMODITIES_CO_GRUPO_3";"143,76560112168210";"IMP";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"QUANTUM";"2020";"2";"COMMODITIES_CO_GRUPO_1";"145,99943932928068";"IMP";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"QUANTUM";"2020";"2";"COMMODITIES_TOTAL_1";"130,61027720038103";"IMP";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"PRECO";"2020";"1";"COMMODITIES_CO_GRUPO_4";"104,84131127982450";"CORRENTE";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"PRECO";"2020";"1";"COMMODITIES_CO_GRUPO_2";"104,40775462208379";"CORRENTE";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"PRECO";"2020";"1";"COMMODITIES_CO_GRUPO_3";"148,34335920990270";"CORRENTE";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"PRECO";"2020";"1";"COMMODITIES_CO_GRUPO_1";"136,65712979053885";"CORRENTE";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"PRECO";"2020";"1";"COMMODITIES_TOTAL_1";"125,94567183761029";"CORRENTE";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"QUANTUM";"2020";"1";"COMMODITIES_CO_GRUPO_4";"167,59118563722927";"CORRENTE";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"QUANTUM";"2020";"1";"COMMODITIES_CO_GRUPO_2";"180,70580093122211";"CORRENTE";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"QUANTUM";"2020";"1";"COMMODITIES_CO_GRUPO_3";"128,81900096845487";"CORRENTE";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"QUANTUM";"2020";"1";"COMMODITIES_CO_GRUPO_1";"112,98653671875051";"CORRENTE";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"QUANTUM";"2020";"1";"COMMODITIES_TOTAL_1";"137,35121947246446";"CORRENTE";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"PRECO";"2020";"1";"COMMODITIES_CO_GRUPO_4";"116,23563693225867";"EXP";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"PRECO";"2020";"1";"COMMODITIES_CO_GRUPO_2";"106,03793654364947";"EXP";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"PRECO";"2020";"1";"COMMODITIES_CO_GRUPO_3";"158,27899990163942";"EXP";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"PRECO";"2020";"1";"COMMODITIES_CO_GRUPO_1";"136,39377528288188";"EXP";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"PRECO";"2020";"1";"COMMODITIES_TOTAL_1";"134,35073390234587";"EXP";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"QUANTUM";"2020";"1";"COMMODITIES_CO_GRUPO_4";"208,37618789129039";"EXP";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"QUANTUM";"2020";"1";"COMMODITIES_CO_GRUPO_2";"190,59458950525504";"EXP";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"QUANTUM";"2020";"1";"COMMODITIES_CO_GRUPO_3";"127,46825432951314";"EXP";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"QUANTUM";"2020";"1";"COMMODITIES_CO_GRUPO_1";"105,90960472097318";"EXP";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"QUANTUM";"2020";"1";"COMMODITIES_TOTAL_1";"135,61964444620307";"EXP";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"PRECO";"2020";"1";"COMMODITIES_CO_GRUPO_4";"100,08675606563821";"IMP";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"PRECO";"2020";"1";"COMMODITIES_CO_GRUPO_2";"92,55449659232008";"IMP";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"PRECO";"2020";"1";"COMMODITIES_CO_GRUPO_3";"112,20514397881858";"IMP";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"PRECO";"2020";"1";"COMMODITIES_CO_GRUPO_1";"147,86890027770880";"IMP";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"PRECO";"2020";"1";"COMMODITIES_TOTAL_1";"108,99395981962006";"IMP";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"QUANTUM";"2020";"1";"COMMODITIES_CO_GRUPO_4";"129,39082332181638";"IMP";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"QUANTUM";"2020";"1";"COMMODITIES_CO_GRUPO_2";"65,34243833757712";"IMP";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"QUANTUM";"2020";"1";"COMMODITIES_CO_GRUPO_3";"156,26461632496722";"IMP";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"QUANTUM";"2020";"1";"COMMODITIES_CO_GRUPO_1";"161,34062615629207";"IMP";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"QUANTUM";"2020";"1";"COMMODITIES_TOTAL_1";"139,98429088876003";"IMP";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"PRECO";"2019";"12";"COMMODITIES_CO_GRUPO_4";"102,76732043381153";"CORRENTE";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"PRECO";"2019";"12";"COMMODITIES_CO_GRUPO_2";"105,91201236763277";"CORRENTE";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"PRECO";"2019";"12";"COMMODITIES_CO_GRUPO_3";"138,53872042283024";"CORRENTE";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"PRECO";"2019";"12";"COMMODITIES_CO_GRUPO_1";"138,57204689741920";"CORRENTE";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"PRECO";"2019";"12";"COMMODITIES_TOTAL_1";"123,88193246736436";"CORRENTE";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"QUANTUM";"2019";"12";"COMMODITIES_CO_GRUPO_4";"223,57791931119175";"CORRENTE";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"QUANTUM";"2019";"12";"COMMODITIES_CO_GRUPO_2";"168,83191432758628";"CORRENTE";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"QUANTUM";"2019";"12";"COMMODITIES_CO_GRUPO_3";"130,37112349614151";"CORRENTE";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"QUANTUM";"2019";"12";"COMMODITIES_CO_GRUPO_1";"156,86200729659268";"CORRENTE";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"QUANTUM";"2019";"12";"COMMODITIES_TOTAL_1";"168,73375963977202";"CORRENTE";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"PRECO";"2019";"12";"COMMODITIES_CO_GRUPO_4";"110,20195700253372";"EXP";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"PRECO";"2019";"12";"COMMODITIES_CO_GRUPO_2";"107,75629289110873";"EXP";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"PRECO";"2019";"12";"COMMODITIES_CO_GRUPO_3";"144,90917569702867";"EXP";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"PRECO";"2019";"12";"COMMODITIES_CO_GRUPO_1";"138,36029977566020";"EXP";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"PRECO";"2019";"12";"COMMODITIES_TOTAL_1";"131,13531302511510";"EXP";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"QUANTUM";"2019";"12";"COMMODITIES_CO_GRUPO_4";"339,90534015598843";"EXP";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"QUANTUM";"2019";"12";"COMMODITIES_CO_GRUPO_2";"177,41462960288163";"EXP";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"QUANTUM";"2019";"12";"COMMODITIES_CO_GRUPO_3";"122,79475586470379";"EXP";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"QUANTUM";"2019";"12";"COMMODITIES_CO_GRUPO_1";"153,45367045798523";"EXP";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"QUANTUM";"2019";"12";"COMMODITIES_TOTAL_1";"175,63178128388478";"EXP";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"PRECO";"2019";"12";"COMMODITIES_CO_GRUPO_4";"101,59439930816288";"IMP";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"PRECO";"2019";"12";"COMMODITIES_CO_GRUPO_2";"95,43437082668181";"IMP";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"PRECO";"2019";"12";"COMMODITIES_CO_GRUPO_3";"111,90251316185864";"IMP";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"PRECO";"2019";"12";"COMMODITIES_CO_GRUPO_1";"146,21323342706640";"IMP";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"PRECO";"2019";"12";"COMMODITIES_TOTAL_1";"109,63178202957253";"IMP";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"QUANTUM";"2019";"12";"COMMODITIES_CO_GRUPO_4";"125,93838232030188";"IMP";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"QUANTUM";"2019";"12";"COMMODITIES_CO_GRUPO_2";"62,38827455972212";"IMP";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"QUANTUM";"2019";"12";"COMMODITIES_CO_GRUPO_3";"165,71535422541194";"IMP";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"QUANTUM";"2019";"12";"COMMODITIES_CO_GRUPO_1";"175,78825263165703";"IMP";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"QUANTUM";"2019";"12";"COMMODITIES_TOTAL_1";"142,36569136768588";"IMP";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"PRECO";"2019";"11";"COMMODITIES_CO_GRUPO_4";"102,84503529977923";"CORRENTE";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"PRECO";"2019";"11";"COMMODITIES_CO_GRUPO_2";"105,67326331904458";"CORRENTE";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"PRECO";"2019";"11";"COMMODITIES_CO_GRUPO_3";"143,84681726763864";"CORRENTE";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"PRECO";"2019";"11";"COMMODITIES_CO_GRUPO_1";"138,15609085406922";"CORRENTE";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"PRECO";"2019";"11";"COMMODITIES_TOTAL_1";"125,44284171395323";"CORRENTE";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"QUANTUM";"2019";"11";"COMMODITIES_CO_GRUPO_4";"179,88822485388712";"CORRENTE";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"QUANTUM";"2019";"11";"COMMODITIES_CO_GRUPO_2";"166,35257135601424";"CORRENTE";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"QUANTUM";"2019";"11";"COMMODITIES_CO_GRUPO_3";"146,54563586436493";"CORRENTE";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"QUANTUM";"2019";"11";"COMMODITIES_CO_GRUPO_1";"167,11311795029619";"CORRENTE";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"QUANTUM";"2019";"11";"COMMODITIES_TOTAL_1";"165,50543035578599";"CORRENTE";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"PRECO";"2019";"11";"COMMODITIES_CO_GRUPO_4";"111,21964353330213";"EXP";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"PRECO";"2019";"11";"COMMODITIES_CO_GRUPO_2";"107,67638513481546";"EXP";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"PRECO";"2019";"11";"COMMODITIES_CO_GRUPO_3";"152,62147530814337";"EXP";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"PRECO";"2019";"11";"COMMODITIES_CO_GRUPO_1";"137,49736147095669";"EXP";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"PRECO";"2019";"11";"COMMODITIES_TOTAL_1";"133,44101146202561";"EXP";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"QUANTUM";"2019";"11";"COMMODITIES_CO_GRUPO_4";"188,45918012654545";"EXP";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"QUANTUM";"2019";"11";"COMMODITIES_CO_GRUPO_2";"174,35226414027858";"EXP";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"QUANTUM";"2019";"11";"COMMODITIES_CO_GRUPO_3";"132,42940555203751";"EXP";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"QUANTUM";"2019";"11";"COMMODITIES_CO_GRUPO_1";"168,73541599798335";"EXP";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"QUANTUM";"2019";"11";"COMMODITIES_TOTAL_1";"161,87106641465476";"EXP";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"PRECO";"2019";"11";"COMMODITIES_CO_GRUPO_4";"97,61644790305202";"IMP";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"PRECO";"2019";"11";"COMMODITIES_CO_GRUPO_2";"94,31281974674854";"IMP";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"PRECO";"2019";"11";"COMMODITIES_CO_GRUPO_3";"114,62833769313102";"IMP";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"PRECO";"2019";"11";"COMMODITIES_CO_GRUPO_1";"147,27004693613918";"IMP";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"PRECO";"2019";"11";"COMMODITIES_TOTAL_1";"108,01870366424883";"IMP";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"QUANTUM";"2019";"11";"COMMODITIES_CO_GRUPO_4";"172,64324724809279";"IMP";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
